airport_id,month,tavg,prcp,wspd,pres
ADQ,1,1.54,6.05,14.58,997.65
ADQ,2,-0.2,3.33,15.25,1004.85
ADQ,3,0.46,1.46,19.2,1011.24
ADQ,4,2.36,1.62,17.66,1006.67
ADQ,5,6.21,8.73,18.57,1009.57
ADQ,6,9.79,6.1,15.33,1011.29
ADQ,7,12.4,5.02,11.81,1016.95
ADQ,8,12.95,3.93,11.1,1012.02
ADQ,9,9.57,2.62,13.36,1004.9
ADQ,10,6.11,4.25,16.31,1009.47
ADQ,11,2.74,6.48,16.3,999.85
ADQ,12,-2.22,5.01,15.97,993.05
AEX,1,12.74,6.79,7.96,1018.78
AEX,2,14.38,2.76,8.57,1019.16
AEX,3,17.21,2.7,8.29,1016.98
AEX,4,18.4,3.72,7.69,1015.3
AEX,5,23.3,0.74,5.2,1014.52
AEX,6,27.51,0.14,6.42,1010.89
AEX,7,28.86,1.58,6.42,1015.38
AEX,8,31.08,0.17,8.11,1013.2
AEX,9,26.34,0.79,4.44,1014.32
AEX,10,20.19,0.78,6.44,1016.07
AEX,11,13.39,2.19,4.84,1019.81
AEX,12,10.46,2.63,5.0,1020.73
AGS,1,10.16,5.56,9.05,1019.18
AGS,2,13.46,4.61,9.24,1019.49
AGS,3,14.12,3.42,9.65,1017.71
AGS,4,17.36,5.55,9.08,1016.52
AGS,5,20.04,2.88,9.8,1015.66
AGS,6,23.5,5.23,7.79,1010.97
AGS,7,26.93,6.25,6.37,1014.65
AGS,8,26.64,5.63,6.79,1013.83
AGS,9,22.36,4.43,5.19,1016.21
AGS,10,17.15,3.58,6.46,1016.26
AGS,11,11.68,1.63,6.61,1020.32
AGS,12,9.55,3.62,7.65,1020.79
AKN,1,-4.14,0.85,11.88,997.15
AKN,2,-6.02,1.34,14.72,1005.16
AKN,3,-5.1,0.52,15.19,1013.92
AKN,4,-2.77,0.78,15.66,1009.27
AKN,5,6.83,2.49,18.74,1007.28
AKN,6,11.58,1.86,15.31,1008.45
AKN,7,13.86,3.05,14.9,1014.8
AKN,8,13.78,3.88,15.01,1010.23
AKN,9,8.32,2.21,12.66,1005.25
AKN,10,2.17,0.54,12.81,1010.11
AKN,11,-1.54,1.03,14.81,1000.29
AKN,12,-9.18,1.8,13.31,994.25
ALB,1,-0.08,3.34,10.51,1015.64
ALB,2,-1.27,2.06,12.73,1017.03
ALB,3,1.65,3.99,13.76,1015.31
ALB,4,9.95,3.24,13.0,1016.34
ALB,5,14.65,1.43,12.32,1016.35
ALB,6,18.91,3.97,10.43,1011.19
ALB,7,22.78,8.45,8.9,1012.7
ALB,8,20.24,6.1,10.85,1013.15
ALB,9,18.0,2.19,8.76,1018.73
ALB,10,12.77,2.7,10.27,1013.88
ALB,11,3.2,1.98,11.59,1019.38
ALB,12,2.08,5.58,10.46,1019.41
ALO,1,-4.28,1.66,15.23,1017.01
ALO,2,-2.76,2.08,17.1,1016.25
ALO,3,1.78,1.39,18.67,1017.41
ALO,4,9.95,1.05,20.8,1013.47
ALO,5,18.16,1.43,15.09,1016.28
ALO,6,22.62,1.86,10.51,1011.79
ALO,7,23.12,3.24,9.82,1013.4
ALO,8,23.81,0.92,12.35,1013.91
ALO,9,20.56,1.61,13.0,1015.77
ALO,10,12.36,2.77,17.03,1015.2
ALO,11,4.34,0.21,14.32,1019.03
ALO,12,1.95,0.7,14.34,1017.82
ALW,1,2.65,0.72,11.67,1018.24
ALW,2,2.57,1.24,15.68,1017.0
ALW,3,5.91,2.11,15.41,1013.18
ALW,4,9.99,1.65,14.43,1016.17
ALW,5,17.94,0.17,12.83,1013.25
ALW,6,20.6,0.31,13.04,1013.15
ALW,7,25.48,0.0,12.9,1013.7
ALW,8,24.02,0.8,12.7,1013.85
ALW,9,18.06,1.24,11.6,1014.54
ALW,10,11.8,1.09,9.44,1017.75
ALW,11,4.24,2.07,9.59,1021.02
ALW,12,3.46,2.01,9.71,1019.77
AMA,1,4.61,0.21,21.51,1015.32
AMA,2,5.79,0.23,24.49,1015.35
AMA,3,9.25,0.35,23.83,1012.76
AMA,4,13.99,0.81,24.05,1012.06
AMA,5,19.2,6.03,21.32,1011.9
AMA,6,22.6,3.42,18.32,1009.49
AMA,7,27.16,0.72,20.12,1012.45
AMA,8,27.58,0.34,18.12,1012.94
AMA,9,23.94,0.55,18.97,1012.51
AMA,10,15.97,0.37,20.35,1014.62
AMA,11,9.27,0.3,18.6,1017.54
AMA,12,5.64,1.45,19.61,1018.2
ANC,1,-4.34,0.49,7.68,1001.17
ANC,2,-6.34,1.49,8.09,1005.59
ANC,3,-3.89,0.12,10.82,1011.98
ANC,4,0.04,0.49,10.32,1006.76
ANC,5,7.92,0.71,15.93,1012.0
ANC,6,11.87,1.48,14.08,1012.43
ANC,7,14.17,3.35,8.68,1017.32
ANC,8,14.8,3.14,10.46,1011.88
ANC,9,8.95,2.56,8.93,1004.51
ANC,10,2.38,1.83,7.93,1011.49
ANC,11,-1.93,2.92,9.82,1000.79
ANC,12,-7.89,1.58,9.75,995.28
APN,1,-1.99,1.82,10.96,1015.84
APN,2,-3.56,2.14,14.07,1014.98
APN,3,-0.92,2.12,12.45,1017.46
APN,4,6.89,3.73,12.92,1013.87
APN,5,12.0,0.75,9.97,1018.38
APN,6,17.93,1.34,9.73,1012.94
APN,7,20.05,4.59,7.85,1012.57
APN,8,18.4,2.9,10.14,1014.24
APN,9,16.38,0.7,7.9,1018.99
APN,10,10.52,2.35,10.66,1014.1
APN,11,2.51,1.24,12.04,1017.31
APN,12,1.8,1.39,10.93,1017.75
ASE,1,-5.87,1.81,7.56,1015.88
ASE,2,-6.52,1.78,8.72,1017.15
ASE,3,-2.77,2.73,9.9,1012.03
ASE,4,2.78,1.91,10.81,1012.9
ASE,5,10.5,1.49,10.74,1011.87
ASE,6,13.13,1.57,10.26,1011.01
ASE,7,19.03,0.85,11.37,1014.52
ASE,8,17.67,1.01,10.2,1015.72
ASE,9,13.0,0.5,10.26,1015.11
ASE,10,6.23,2.11,10.14,1016.0
ASE,11,-0.16,0.81,8.37,1019.75
ASE,12,-4.46,1.21,7.45,1022.02
ATL,1,9.85,6.41,7.97,1019.12
ATL,2,12.76,3.82,8.53,1019.54
ATL,3,13.46,5.02,8.78,1017.87
ATL,4,16.64,5.83,9.58,1016.67
ATL,5,20.35,1.87,9.22,1016.13
ATL,6,23.41,2.16,7.36,1011.46
ATL,7,26.71,2.31,5.75,1015.43
ATL,8,26.34,4.35,6.1,1014.36
ATL,9,22.62,1.74,5.28,1016.63
ATL,10,16.95,1.14,7.15,1016.94
ATL,11,11.86,1.14,7.37,1020.67
ATL,12,8.59,3.09,7.29,1021.17
ATW,1,-3.54,1.13,13.41,1014.43
ATW,2,-3.43,1.86,17.1,1013.96
ATW,3,-0.79,3.4,14.67,1016.41
ATW,4,7.53,3.86,17.5,1012.42
ATW,5,14.57,1.73,12.94,1017.69
ATW,6,20.75,2.93,11.65,1013.18
ATW,7,22.91,2.63,11.32,1013.59
ATW,8,21.65,2.1,12.64,1015.13
ATW,9,19.05,1.68,11.94,1018.19
ATW,10,11.12,2.59,14.51,1014.98
ATW,11,3.59,0.8,15.31,1017.36
ATW,12,2.14,1.02,13.17,1017.01
AUS,1,12.4,1.25,12.31,1018.41
AUS,2,12.53,1.37,15.75,1018.82
AUS,3,17.82,1.56,15.55,1015.19
AUS,4,18.7,4.29,15.15,1013.97
AUS,5,23.44,2.84,9.69,1013.1
AUS,6,28.37,1.88,13.58,1009.33
AUS,7,30.68,0.13,13.82,1013.69
AUS,8,32.17,0.12,13.36,1012.28
AUS,9,29.5,1.07,10.93,1012.76
AUS,10,21.69,4.98,13.61,1015.44
AUS,11,14.88,1.15,11.58,1019.68
AUS,12,12.55,1.9,10.21,1020.6
AVL,1,6.08,4.09,10.96,1017.95
AVL,2,9.12,2.52,12.56,1018.8
AVL,3,9.77,1.58,13.33,1017.23
AVL,4,14.03,4.91,8.89,1016.71
AVL,5,17.13,2.93,8.86,1016.63
AVL,6,20.13,1.62,8.07,1011.9
AVL,7,23.8,2.92,7.9,1015.69
AVL,8,23.54,3.38,7.65,1015.05
AVL,9,20.05,1.41,6.62,1017.69
AVL,10,14.27,0.58,8.38,1016.97
AVL,11,8.98,0.79,8.55,1020.84
AVL,12,6.25,5.3,9.0,1020.59
AVP,1,3.44,2.41,10.27,1015.14
AVP,2,2.3,0.98,10.78,1016.72
AVP,3,3.93,1.84,12.35,1015.28
AVP,4,12.57,3.83,11.08,1015.6
AVP,5,14.79,0.75,9.72,1016.65
AVP,6,19.1,2.44,8.3,1011.02
AVP,7,23.25,5.61,7.6,1012.97
AVP,8,20.91,5.25,7.92,1013.62
AVP,9,17.88,5.18,7.18,1018.46
AVP,10,13.16,3.58,7.91,1014.58
AVP,11,4.88,2.02,9.46,1019.79
AVP,12,4.29,4.79,8.03,1019.17
AZA,1,11.89,0.84,8.84,1016.64
AZA,2,13.74,0.34,12.41,1015.88
AZA,3,16.42,1.2,10.74,1013.47
AZA,4,23.57,0.0,10.93,1009.78
AZA,5,28.62,0.0,12.75,1008.11
AZA,6,32.07,0.0,11.27,1006.86
AZA,7,39.47,0.0,13.06,1006.89
AZA,8,36.98,0.1,12.7,1008.0
AZA,9,32.76,0.03,10.48,1008.5
